x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;FPS;TIMESTAMP
5567.207031;22117.195313;231.38974;0.0;0.0;-89.891167;0.0;0.0;1.0;0.0019;-0.999998;0.0;119.988579;2018-10-24T10:15:00.953Z
5567.776367;21917.347656;232.815231;0.0;0.0;-89.781708;0.0;0.0;1.0;0.00381;-0.999993;0.0;119.988579;2018-10-24T10:15:01.953Z
5568.755859;21717.365234;233.89888;0.0;0.0;-89.656303;0.0;0.0;1.0;0.005999;-0.999982;0.0;119.988579;2018-10-24T10:15:02.953Z
5570.500977;21517.460938;234.615585;0.0;0.0;-89.280273;0.0;0.0;1.0;0.012561;-0.999921;0.0;119.99781;2018-10-24T10:15:03.953Z
5573.777344;21317.742188;235.069244;0.0;0.0;-88.859009;0.0;0.0;1.0;0.019913;-0.999802;0.0;119.993195;2018-10-24T10:15:04.954Z
5578.413574;21117.335938;235.288803;0.0;0.0;-88.508636;0.0;0.0;1.0;0.026026;-0.999661;0.0;119.99781;2018-10-24T10:15:05.955Z
5584.130371;20917.345703;235.293945;0.0;0.0;-88.233818;0.0;0.0;1.0;0.030821;-0.999525;0.0;119.993195;2018-10-24T10:15:06.955Z
5590.652344;20717.859375;235.107895;0.0;0.0;-88.037476;0.0;0.0;1.0;0.034246;-0.999413;0.0;119.99781;2018-10-24T10:15:07.954Z
5597.75;20517.416016;234.751236;0.0;0.0;-87.922791;0.0;0.0;1.0;0.036246;-0.999343;0.0;119.99781;2018-10-24T10:15:08.954Z
5605.067383;20317.693359;234.250092;0.0;0.0;-87.896263;0.0;0.0;1.0;0.036709;-0.999326;0.0;119.993195;2018-10-24T10:15:09.954Z
5612.314941;20117.882813;233.627884;0.0;0.0;-87.964264;0.0;0.0;1.0;0.035523;-0.999369;0.0;119.99781;2018-10-24T10:15:10.955Z
5619.166016;19917.427734;232.908722;0.0;0.0;-88.13604;0.0;0.0;1.0;0.032527;-0.999471;0.0;119.988579;2018-10-24T10:15:11.955Z
5625.193848;19717.740234;232.126251;0.0;0.0;-88.421043;0.0;0.0;1.0;0.027555;-0.99962;0.0;119.99781;2018-10-24T10:15:12.955Z
5630.008789;19517.941406;231.308533;0.0;0.0;-88.833344;0.0;0.0;1.0;0.020361;-0.999793;0.0;119.99781;2018-10-24T10:15:13.955Z
5633.145508;19317.25;230.486938;0.0;0.0;-89.392296;0.0;0.0;1.0;0.010606;-0.999944;0.0;119.993195;2018-10-24T10:15:14.956Z
5634.036133;19117.105469;229.706543;0.0;0.0;-90.115532;0.0;0.0;1.0;-0.002016;-0.999998;0.0;119.983917;2018-10-24T10:15:15.957Z
5632.079102;18917.667969;229.012085;0.0;0.0;-91.027863;0.0;0.0;1.0;-0.017939;-0.999839;0.0;119.993195;2018-10-24T10:15:16.958Z
5626.506836;18716.933594;228.449173;0.0;0.0;-92.174316;0.0;0.0;1.0;-0.03794;-0.99928;0.0;119.993195;2018-10-24T10:15:17.958Z
5621.904785;18522.148438;228.022202;0.0;0.0;-89.57132;0.0;0.0;1.0;0.007482;-0.999972;0.0;119.993195;2018-10-24T10:15:18.951Z
5629.004395;18320.621094;227.546509;0.0;0.0;-86.675529;0.0;0.0;1.0;0.05799;-0.998317;0.0;119.993195;2018-10-24T10:15:19.951Z
5644.004883;18120.138672;227.042923;0.0;0.0;-84.957306;0.0;0.0;1.0;0.087898;-0.99613;0.0;119.993195;2018-10-24T10:15:20.951Z
5663.332031;17920.810547;226.521851;0.0;0.0;-84.110954;0.0;0.0;1.0;0.102602;-0.994722;0.0;119.99781;2018-10-24T10:15:21.952Z
5684.348145;17720.734375;225.985718;0.0;0.0;-84.024071;0.0;0.0;1.0;0.104111;-0.994566;0.0;119.99781;2018-10-24T10:15:22.952Z
5704.09668;17522.482422;225.447891;0.0;0.0;-84.729004;0.0;0.0;1.0;0.091866;-0.995771;0.0;119.993195;2018-10-24T10:15:23.953Z
5719.933105;17320.849609;224.900986;0.0;0.0;-86.463295;0.0;0.0;1.0;0.061688;-0.998095;0.0;119.99781;2018-10-24T10:15:24.953Z
5727.07959;17119.330078;224.363235;0.0;0.0;-89.755241;0.0;0.0;1.0;0.004272;-0.999991;0.0;119.993195;2018-10-24T10:15:25.953Z
5718.195313;16919.355469;223.852219;0.0;0.0;-95.896904;0.0;0.0;1.0;-0.102739;-0.994708;0.0;119.942421;2018-10-24T10:15:26.953Z
5678.460938;16724.095703;223.40361;0.0;0.0;-108.532791;0.0;0.0;1.0;-0.317847;-0.948142;0.0;119.988579;2018-10-24T10:15:27.954Z
5578.32959;16556.611328;223.133438;0.0;0.0;-136.017471;0.0;0.0;1.0;-0.719551;-0.694439;0.0;119.99781;2018-10-24T10:15:28.955Z
5405.632813;16474.570313;223.222824;0.0;0.0;-170.897797;0.0;0.0;1.0;-0.987408;-0.158196;0.0;119.99781;2018-10-24T10:15:29.955Z
5200.541016;16468.013672;223.576202;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.99781;2018-10-24T10:15:30.955Z
5000.480469;16466.169922;223.933365;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.993195;2018-10-24T10:15:31.955Z
4800.440918;16464.328125;224.290497;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.99781;2018-10-24T10:15:32.955Z
4600.304199;16462.484375;224.647797;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.446121;2018-10-24T10:15:33.956Z
4400.088867;16460.638672;225.005249;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.993141;2018-10-24T10:15:34.957Z
4199.931641;16458.794922;225.362595;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.99781;2018-10-24T10:15:35.958Z
3999.898438;16456.953125;225.719711;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.988579;2018-10-24T10:15:36.958Z
3799.824463;16455.109375;226.076904;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.993195;2018-10-24T10:15:37.958Z
3601.253174;16453.279297;226.431412;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.99781;2018-10-24T10:15:38.951Z
3401.133057;16451.435547;226.788696;0.0;0.0;-179.472153;0.0;0.0;1.0;-0.999958;-0.009213;0.0;119.993195;2018-10-24T10:15:39.951Z
3198.608887;16439.058594;227.147354;0.0;0.0;-164.959366;0.0;0.0;1.0;-0.965742;-0.259504;0.0;119.993195;2018-10-24T10:15:40.952Z
3041.692139;16332.988281;227.397781;0.0;0.0;-129.302338;0.0;0.0;1.0;-0.633412;-0.773814;0.0;119.988579;2018-10-24T10:15:41.952Z
2949.007324;16158.777344;227.512329;0.0;0.0;-109.727989;0.0;0.0;1.0;-0.337555;-0.941306;0.0;119.99781;2018-10-24T10:15:42.953Z
2898.330078;15963.436523;227.543518;0.0;0.0;-100.570961;0.0;0.0;1.0;-0.183453;-0.983028;0.0;119.99781;2018-10-24T10:15:43.953Z
2870.48877;15761.948242;227.52977;0.0;0.0;-95.710571;0.0;0.0;1.0;-0.099503;-0.995037;0.0;119.988579;2018-10-24T10:15:44.952Z
2856.017334;15564.837891;227.491165;0.0;0.0;-92.971855;0.0;0.0;1.0;-0.051845;-0.998655;0.0;119.993195;2018-10-24T10:15:45.953Z
2848.727783;15362.8125;227.435455;0.0;0.0;-91.346764;0.0;0.0;1.0;-0.023503;-0.999724;0.0;119.993141;2018-10-24T10:15:46.953Z
2845.635498;15162.285156;227.369659;0.0;0.0;-90.553185;0.0;0.0;1.0;-0.009655;-0.999953;0.0;119.993195;2018-10-24T10:15:47.953Z
2844.07959;14960.717773;227.297058;0.0;0.0;-90.445862;0.0;0.0;1.0;-0.007782;-0.99997;0.0;119.993195;2018-10-24T10:15:48.953Z
2841.687744;14761.228516;227.222153;0.0;0.0;-91.044617;0.0;0.0;1.0;-0.018231;-0.999834;0.0;119.993195;2018-10-24T10:15:49.953Z
2835.599609;14559.390625;227.14682;0.0;0.0;-92.570679;0.0;0.0;1.0;-0.044852;-0.998994;0.0;119.99781;2018-10-24T10:15:50.953Z
2821.702148;14357.609375;227.076706;0.0;0.0;-95.59021;0.0;0.0;1.0;-0.097413;-0.995244;0.0;119.993195;2018-10-24T10:15:51.954Z
2793.209717;14161.185547;227.021561;0.0;0.0;-101.549553;0.0;0.0;1.0;-0.200215;-0.979752;0.0;119.99781;2018-10-24T10:15:52.954Z
2734.131836;13974.050781;227.0;0.0;0.0;-114.334419;0.0;0.0;1.0;-0.412062;-0.911156;0.0;119.993141;2018-10-24T10:15:53.954Z
2635.009766;13800.620117;227.0;0.0;0.0;-125.279381;0.0;0.0;1.0;-0.577564;-0.816345;0.0;119.99781;2018-10-24T10:15:54.954Z
2504.103516;13650.701172;227.0;0.0;0.0;-136.551575;0.0;0.0;1.0;-0.725994;-0.687701;0.0;119.99781;2018-10-24T10:15:55.954Z
2349.696289;13525.544922;227.0;0.0;0.0;-144.386292;0.0;0.0;1.0;-0.812961;-0.582318;0.0;119.99781;2018-10-24T10:15:56.955Z
2184.373535;13412.791016;227.0;0.0;0.0;-145.753799;0.0;0.0;1.0;-0.826627;-0.56275;0.0;119.993195;2018-10-24T10:15:57.955Z
2024.689209;13292.994141;227.0;0.0;0.0;-139.278717;0.0;0.0;1.0;-0.757892;-0.65238;0.0;119.882484;2018-10-24T10:15:58.955Z
1889.394531;13148.259766;227.0;0.0;0.0;-126.346405;0.0;0.0;1.0;-0.592666;-0.805449;0.0;119.99781;2018-10-24T10:15:59.955Z
1793.115234;12974.767578;227.0;0.0;0.0;-112.2687;0.0;0.0;1.0;-0.378951;-0.925417;0.0;119.988579;2018-10-24T10:16:00.955Z
1737.401855;12782.862305;227.0;0.0;0.0;-101.160324;0.0;0.0;1.0;-0.193555;-0.981089;0.0;119.988579;2018-10-24T10:16:01.956Z
1710.17749;12584.850586;227.0;0.0;0.0;-95.213219;0.0;0.0;1.0;-0.090862;-0.995863;0.0;119.983917;2018-10-24T10:16:02.956Z
1698.399048;12385.102539;227.0;0.0;0.0;-91.896637;0.0;0.0;1.0;-0.033096;-0.999452;0.0;119.988579;2018-10-24T10:16:03.956Z
1695.461914;12183.921875;227.0;0.0;0.0;-89.992218;0.0;0.0;1.0;0.000136;-1.0;0.0;119.988579;2018-10-24T10:16:04.958Z
1697.426147;11984.520508;227.0;0.0;0.0;-89.025116;0.0;0.0;1.0;0.017014;-0.999855;0.0;119.993141;2018-10-24T10:16:05.950Z
1701.474854;11784.258789;227.0;0.0;0.0;-88.776176;0.0;0.0;1.0;0.021358;-0.999772;0.0;119.993141;2018-10-24T10:16:06.951Z
1705.181885;11583.651367;227.0;0.0;0.0;-89.219337;0.0;0.0;1.0;0.013625;-0.999907;0.0;119.99781;2018-10-24T10:16:07.952Z
1705.950928;11382.513672;227.0;0.0;0.0;-90.477295;0.0;0.0;1.0;-0.00833;-0.999965;0.0;119.993141;2018-10-24T10:16:08.951Z
1700.385132;11181.630859;227.0;0.0;0.0;-92.898857;0.0;0.0;1.0;-0.050573;-0.99872;0.0;115.567604;2018-10-24T10:16:09.952Z
1683.150635;10981.970703;227.0;0.0;0.0;-97.35907;0.0;0.0;1.0;-0.128087;-0.991763;0.0;119.993195;2018-10-24T10:16:10.953Z
1643.685669;10785.595703;227.0;0.0;0.0;-106.375526;0.0;0.0;1.0;-0.281932;-0.959435;0.0;119.322678;2018-10-24T10:16:11.953Z
1555.670654;10608.736328;227.0;0.0;0.0;-130.981339;0.0;0.0;1.0;-0.655813;-0.754923;0.0;119.877876;2018-10-24T10:16:12.953Z
1386.825806;10516.6875;227.0;0.0;0.0;-168.948257;0.0;0.0;1.0;-0.981454;-0.191696;0.0;119.99781;2018-10-24T10:16:13.953Z
1186.541626;10509.742188;227.0;0.0;0.0;177.113342;0.0;0.0;1.0;-0.998731;0.050361;0.0;119.993141;2018-10-24T10:16:14.953Z
986.364868;10516.981445;227.0;0.0;0.0;-178.859314;0.0;0.0;1.0;-0.999802;-0.019908;0.0;119.993195;2018-10-24T10:16:15.954Z
791.022217;10483.099609;227.0;0.0;0.0;-158.973969;0.0;0.0;1.0;-0.933417;-0.358792;0.0;119.99781;2018-10-24T10:16:16.954Z
633.277832;10369.916016;227.0;0.0;0.0;-130.680527;0.0;0.0;1.0;-0.651841;-0.758356;0.0;119.988579;2018-10-24T10:16:17.955Z
534.467041;10200.298828;227.0;0.0;0.0;-112.075706;0.0;0.0;1.0;-0.375831;-0.926688;0.0;119.988525;2018-10-24T10:16:18.955Z
478.60791;10012.001953;227.0;0.0;0.0;-102.157921;0.0;0.0;1.0;-0.210607;-0.977571;0.0;119.988579;2018-10-24T10:16:19.955Z
444.800781;9807.775391;227.0;0.0;0.0;-97.302246;0.0;0.0;1.0;-0.127103;-0.991889;0.0;119.99781;2018-10-24T10:16:20.955Z
424.547119;9613.083008;227.0;0.0;0.0;-94.825386;0.0;0.0;1.0;-0.084119;-0.996456;0.0;119.988579;2018-10-24T10:16:21.955Z
410.524414;9409.819336;227.0;0.0;0.0;-93.210625;0.0;0.0;1.0;-0.056007;-0.99843;0.0;119.988579;2018-10-24T10:16:22.956Z
401.365479;9211.632813;227.0;0.0;0.0;-92.164795;0.0;0.0;1.0;-0.037774;-0.999286;0.0;119.993195;2018-10-24T10:16:23.956Z
395.082031;9008.0;227.0;0.0;0.0;-91.428734;0.0;0.0;1.0;-0.024933;-0.999689;0.0;119.993195;2018-10-24T10:16:24.956Z
391.05249;8809.985352;227.0;0.0;0.0;-90.943077;0.0;0.0;1.0;-0.016459;-0.999864;0.0;119.99781;2018-10-24T10:16:25.957Z
388.326172;8606.181641;227.0;0.0;0.0;-90.621979;0.0;0.0;1.0;-0.010855;-0.999941;0.0;119.993195;2018-10-24T10:16:26.958Z
386.516846;8408.803711;227.0;0.0;0.0;-90.452751;0.0;0.0;1.0;-0.007902;-0.999969;0.0;119.99781;2018-10-24T10:16:27.950Z
385.047363;8208.095703;227.0;0.0;0.0;-90.407402;0.0;0.0;1.0;-0.00711;-0.999975;0.0;119.988579;2018-10-24T10:16:28.951Z
383.510742;8006.398438;227.0;0.0;0.0;-90.484688;0.0;0.0;1.0;-0.008459;-0.999964;0.0;119.988579;2018-10-24T10:16:29.953Z
381.492188;7805.882813;227.0;0.0;0.0;-90.687309;0.0;0.0;1.0;-0.011995;-0.999928;0.0;119.988579;2018-10-24T10:16:30.953Z
378.540283;7606.375;227.0;0.0;0.0;-91.026886;0.0;0.0;1.0;-0.017921;-0.999839;0.0;119.988525;2018-10-24T10:16:31.953Z
374.030029;7403.365234;227.0;0.0;0.0;-91.541557;0.0;0.0;1.0;-0.026902;-0.999638;0.0;119.988579;2018-10-24T10:16:32.953Z
367.571289;7206.72168;227.0;0.0;0.0;-92.248528;0.0;0.0;1.0;-0.039234;-0.99923;0.0;119.99781;2018-10-24T10:16:33.954Z
357.71875;7001.371094;227.0;0.0;0.0;-93.29007;0.0;0.0;1.0;-0.057391;-0.998352;0.0;119.993195;2018-10-24T10:16:34.954Z
344.158936;6806.035156;227.0;0.0;0.0;-94.716331;0.0;0.0;1.0;-0.082222;-0.996614;0.0;119.99781;2018-10-24T10:16:35.954Z
323.339111;6600.537109;227.0;0.0;0.0;-96.991669;0.0;0.0;1.0;-0.121725;-0.992564;0.0;119.988525;2018-10-24T10:16:36.954Z
294.475586;6410.075195;227.0;0.0;0.0;-100.495255;0.0;0.0;1.0;-0.182154;-0.98327;0.0;119.993195;2018-10-24T10:16:37.954Z
245.461182;6210.320313;227.0;0.0;0.0;-108.00412;0.0;0.0;1.0;-0.309085;-0.951034;0.0;119.988579;2018-10-24T10:16:38.955Z
161.775146;6032.237305;227.0;0.0;0.0;-123.442055;0.0;0.0;1.0;-0.551093;-0.834444;0.0;119.988579;2018-10-24T10:16:39.955Z
24.161621;5894.349609;227.0;0.0;0.0;-147.187408;0.0;0.0;1.0;-0.840447;-0.541893;0.0;119.988579;2018-10-24T10:16:40.955Z
-160.743164;5826.308594;227.0;0.0;0.0;-170.716492;0.0;0.0;1.0;-0.986902;-0.16132;0.0;119.99781;2018-10-24T10:16:41.955Z
-359.931396;5821.594727;227.0;0.0;0.0;175.230331;0.0;0.0;1.0;-0.996537;0.08315;0.0;119.993195;2018-10-24T10:16:42.956Z
-558.434082;5851.539063;227.0;0.0;0.0;168.72403;0.0;0.0;1.0;-0.980697;0.195535;0.0;119.988579;2018-10-24T10:16:43.956Z
-754.763672;5894.101563;227.0;0.0;0.0;167.753967;0.0;0.0;1.0;-0.977246;0.21211;0.0;119.993195;2018-10-24T10:16:44.956Z
-951.531738;5927.811523;227.0;0.0;0.0;174.659683;0.0;0.0;1.0;-0.995659;0.093071;0.0;119.993195;2018-10-24T10:16:45.957Z
-1146.025146;5898.948242;227.0;0.0;0.0;-149.057144;0.0;0.0;1.0;-0.85768;-0.514183;0.0;119.993141;2018-10-24T10:16:46.958Z
-1267.541992;5744.923828;227.0;0.0;0.0;-111.403381;0.0;0.0;1.0;-0.364932;-0.931034;0.0;119.99781;2018-10-24T10:16:47.958Z
