Timestamp,TimeDelta,scene_velocity_x,scene_velocity_y,scene_velocity_z,scene_velocity_roll,scene_velocity_pitch,scene_velocity_yaw,row_avg_SF,col_avg_SF,rad_avg_SF,SV_X,SV_Y,SV_Z,SV_roll,SV_pitch,SV_yaw
2019-01-08T11:00:58.872000,1299.0,178.09876557245633,9.457099400493496,25.903362212333644,1.4700100502512563,1.9152663316582912,4.664819095477364,0.011205641444367935,0.010920407085111288,0.015646778936390875,2.786672013756326,0.10597286498567707,0.28287526023177234,0.023000922290554247,0.02146178778303269,0.05094172350101344
2019-01-08T11:00:59.272000,1699.0,179.00100787410258,3.579776258959083,18.81920028604322,0.21945500000000062,7.868475000000004,16.219059999999956,0.011438765750919342,0.010888497475441463,0.015792553282389155,2.8268829544531258,0.04094822206693533,0.20491281480440884,0.0034657547805867217,0.09000564234196512,0.17660119386403314
2019-01-08T11:00:59.662000,2089.0,177.7578871936433,5.190456254362451,21.97303330110982,0.49058706467661706,2.3168905472636823,2.821129353233842,0.011495044527946481,0.011195608893953261,0.01604611190306978,2.8523229495624554,0.05966452576425468,0.2460014870530363,0.007872014937999529,0.02663276000717432,0.031584260878057414
2019-01-08T11:01:00.062000,2489.0,177.63427206557503,7.146110849763888,24.21364327213517,0.4286417910447763,0.6592636815920406,2.6574626865671482,0.011287326822593228,0.01065984125396973,0.015525332922674074,2.757831212294916,0.08066048867176442,0.2581135934612131,0.006654806510541446,0.007441324636395402,0.028328130377153718
2019-01-08T11:01:00.462000,2889.0,178.60294515553275,6.131237177120629,25.38553782300375,2.0349700000000004,0.8373799999999942,3.3350749999999607,0.012158368689752393,0.01066293290556578,0.016171705764839676,2.8883142777890733,0.0745458421237493,0.2706842865783914,0.0329089360802758,0.010181174773424789,0.035561680960029374
2019-01-08T11:01:00.862000,3289.0,177.53634348975183,4.077396093925155,27.190331402699492,1.543025,1.1892749999999985,1.8286499999999961,0.01251569150834209,0.011177560038024992,0.016780357038383886,2.979123231047196,0.05103143166888627,0.30392156170746987,0.025892510419152297,0.01488459901858352,0.020439845163534358
2019-01-08T11:01:01.262000,3689.0,177.1657722176757,3.0214444125872895,30.79788110777089,0.5189250000000001,3.9750649999999954,1.6171999999999542,0.012285939214426292,0.011796056158075498,0.017032065149741784,3.0174989747157657,0.03712128239281539,0.36329353509699785,0.008838364407829757,0.04883740696339339,0.019076582018839154
2019-01-08T11:01:01.662000,4089.0,176.86738288809383,1.9703501864703192,33.87221104719458,3.630715,3.1636050000000004,2.2603200000000356,0.012098647344176896,0.013301673131305715,0.017980872494149414,3.180229860084719,0.02383857205063758,0.4505570795843848,0.06528342347759569,0.038275341231274754,0.030066037812153407
2019-01-08T11:01:02.062000,4489.0,176.8820167884126,5.131714345625743,33.776631046398,3.1026450000000003,4.835535000000002,5.678750000000008,0.011921707481878948,0.013368481156845838,0.01791210199067744,3.168328725030766,0.06117879730911195,0.4515422556855058,0.055574893680865406,0.057647833788387545,0.07591626236943841
2019-01-08T11:01:02.462000,4889.0,176.5304566867873,3.338011845390466,36.22167834426613,2.135525,1.7530350000000006,1.9089849999999586,0.011791563327658863,0.01342738448761489,0.017869964182628637,3.1545929381359645,0.03936037806339711,0.4863624019151752,0.038161755261108016,0.020671023218102463,0.025632675576088955
2019-01-08T11:01:02.862000,5289.0,175.29956347259323,4.853241265201229,41.71019960588082,1.21008,5.075820000000002,2.28671999999996,0.011952913475189435,0.01354282499095027,0.01806322920412827,3.1664761943890833,0.05801037291716919,0.5648739336000468,0.02185795239533154,0.06067083727563606,0.030968648763305257
2019-01-08T11:01:03.262000,5689.0,175.64871628043448,1.6490739203289169,38.10142247709528,0.17515000000000003,2.005479999999995,4.180604999999957,0.011756038249352306,0.013249068568320834,0.017712770908254346,3.1112254718043015,0.019386576083396105,0.504808358949596,0.003102391824580749,0.023576499588311005,0.05538912230206435
2019-01-08T11:01:03.662000,6089.0,174.61597195164762,0.8461834245426334,39.42012799652097,3.9543482587064673,6.669353233830849,2.1860696517412537,0.010873654524739465,0.01105141120022927,0.015503872169233723,2.707223707844846,0.009201106223037542,0.4356480440552232,0.06130770991561703,0.0725202429681306,0.024159154633734588
2019-01-08T11:01:04.062000,6489.0,175.03986683598822,1.6409649505445651,41.10856071197917,1.968995,1.511250000000004,0.03494000000003439,0.011339884193711737,0.011238986313739575,0.01596583185703829,2.794657082181761,0.018608352505115278,0.46201855121946633,0.03143664309734911,0.01713739998774691,0.00039269018180244724
2019-01-08T11:01:04.462000,6889.0,174.53581348089304,0.5265651906953733,40.171239300585924,0.9534825870646768,3.2830049751243773,4.535542288557191,0.011114742152155093,0.011471301616896159,0.015972734703071284,2.787814244915037,0.00585263632087945,0.4608164023415338,0.015229724407182151,0.036489753782749795,0.05202857358822701
2019-01-08T11:01:04.862000,7289.0,175.49360524629162,2.348928304381126,37.16508217766056,3.449547263681592,1.054905472636813,3.9208258706468007,0.011282772675690816,0.011792987602356409,0.016321014546916108,2.8642336841154785,0.026502424089828128,0.4382873533617081,0.05630011107082192,0.01190225864210334,0.046238250883535996
2019-01-08T11:01:05.261000,7688.0,180.10582051471127,4.697668243635746,17.118046245236048,9.297085427135677,14.38190452261307,0.6978391959798852,0.011694493203265651,0.012340208102984624,0.017001232523149428,3.0620209333432227,0.054936849346395124,0.21124025298272742,0.15806191113431767,0.16818908468971408,0.008611480900811255
