ID,ORDER,CONDITION,scene_velocity_x_SUM,scene_velocity_x_AVG,scene_velocity_x_MIN,scene_velocity_x_MAX,scene_velocity_x_VAR,scene_velocity_y_SUM,scene_velocity_y_AVG,scene_velocity_y_MIN,scene_velocity_y_MAX,scene_velocity_y_VAR,scene_velocity_z_SUM,scene_velocity_z_AVG,scene_velocity_z_MIN,scene_velocity_z_MAX,scene_velocity_z_VAR,scene_velocity_roll_SUM,scene_velocity_roll_AVG,scene_velocity_roll_MIN,scene_velocity_roll_MAX,scene_velocity_roll_VAR,scene_velocity_pitch_SUM,scene_velocity_pitch_AVG,scene_velocity_pitch_MIN,scene_velocity_pitch_MAX,scene_velocity_pitch_VAR,scene_velocity_yaw_SUM,scene_velocity_yaw_AVG,scene_velocity_yaw_MIN,scene_velocity_yaw_MAX,scene_velocity_yaw_VAR,row_avg_SF_SUM,row_avg_SF_AVG,row_avg_SF_MIN,row_avg_SF_MAX,row_avg_SF_VAR,col_avg_SF_SUM,col_avg_SF_AVG,col_avg_SF_MIN,col_avg_SF_MAX,col_avg_SF_VAR,rad_avg_SF_SUM,rad_avg_SF_AVG,rad_avg_SF_MIN,rad_avg_SF_MAX,rad_avg_SF_VAR,SV_X_SUM,SV_X_AVG,SV_X_MIN,SV_X_MAX,SV_X_VAR,SV_Y_SUM,SV_Y_AVG,SV_Y_MIN,SV_Y_MAX,SV_Y_VAR,SV_Z_SUM,SV_Z_AVG,SV_Z_MIN,SV_Z_MAX,SV_Z_VAR,SV_roll_SUM,SV_roll_AVG,SV_roll_MIN,SV_roll_MAX,SV_roll_VAR,SV_pitch_SUM,SV_pitch_AVG,SV_pitch_MIN,SV_pitch_MAX,SV_pitch_VAR,SV_yaw_SUM,SV_yaw_AVG,SV_yaw_MIN,SV_yaw_MAX,SV_yaw_VAR,WARNINGS
0,1,HD,328666.5129712303,171.00234805995333,1.2179208830804642,307.413759715616,506.1980263936601,70116.07848779863,36.4807900560867,0.010639539391661401,186.2427799281447,1231.5910503630464,19390.626159378262,10.088775317054246,0.006779728128525786,126.20914396428356,177.422562802958,2746.591032996751,1.4290275926101723,0.0008090452261310439,27.73271144278607,4.019905502094188,5241.714585740494,2.7272188271282487,0.00288442211055258,54.99950248756218,24.95980757390361,49986.923401614986,26.007764516969296,0.0011450000000934324,1806.974170854271,23075.893405413368,33.83266157166587,0.01760284160856705,0.007055860157028833,0.07125958909151614,4.0505896861050296e-05,38.66198162623964,0.020115495122913444,0.008371072548763833,0.08949212373566981,6.355193755720235e-05,52.87801227426864,0.02751197308754872,0.012448180642256206,0.0911827329219922,6.164234798450137e-05,9026.900553703694,4.696618394226688,0.035199935547592286,12.566727861253675,2.039226760620457,1197.3430295927435,0.6229672370409696,0.00012895605468819636,5.160914026832529,0.4034571491878388,390.86153278204944,0.2033618796992973,0.00017323928061932828,5.845741166047197,0.09974659464215892,74.10910593887753,0.0385583277517573,2.433520337970983e-05,0.9177147262543744,0.003104439369028297,93.5500232181377,0.04867326910412991,4.400787186879803e-05,1.5841063548515508,0.011574761315222145,977.4599175515893,0.5085639529404731,1.7716476501662588e-05,74.87106898284752,9.65536277784318,
0,2,LD,339472.8846677714,176.62480992079676,0.6865503097126112,309.31900008767377,216.48169114476312,43554.50560758126,22.66103309447516,0.039469559795055176,160.34138949745721,426.8244544272678,25733.217097709115,13.388770602346053,0.06491624974215744,102.08830482397308,59.533097112454996,1547.310115311279,0.805052089131779,0.0003049999999993336,16.051944999999996,1.1370321351550174,2896.753828610752,1.5071559982366036,0.0008944723618091029,44.62759296482412,9.70485970247029,34738.26629167938,18.07401992283006,0.00026500000004148205,1805.1585276381907,18102.498257042353,26.68262037635067,0.013882736928382242,0.01000473376550329,0.019657751929578735,1.7671208681659082e-06,36.78017357901709,0.01913640664881222,0.008283257420131758,0.07019342444210477,7.728369330278183e-05,46.24910254515039,0.024063008608298853,0.013086701585712734,0.07137189927156928,5.895487493925548e-05,8161.543531482857,4.246380609512412,0.02247112763106025,11.694739915892585,1.9310206402448271,603.9718521727248,0.31424133827925327,0.0006264713696664904,2.4181452516895905,0.08361344382573345,482.054683400749,0.2508088883458632,0.0018316187745531852,3.0340948755933073,0.037021197823845144,37.948945055898946,0.01974450835374555,7.86342764499687e-06,0.8850202071231694,0.0010931987441772113,39.998083371231004,0.02081065732113996,1.1830395997973321e-05,0.6108617697604328,0.001799049742842168,677.8418881965945,0.3526752800190398,3.6498547132052703e-06,77.35129591310739,8.827867014287037,
10,1,LD,322818.2109946664,167.95952705237585,0.4081409692206783,307.53687591989353,696.5957625044415,80963.69570777204,42.124711606541126,0.01350393970349728,182.60477410291867,1603.935415122333,19956.69636534431,10.383296756162492,0.010897796114453942,172.32676413411434,197.47546437289057,4215.066053872621,2.193062462993039,0.0018208955223879475,26.650715,6.428358620612637,6811.246849798621,3.543832908323944,0.001230000000003173,109.73632499999998,44.403199922982566,60009.68981869532,31.222523318780084,0.0007650000000580803,1798.1958,24156.727650541263,39.25813713209117,0.020425669683710287,0.008526321994026122,0.0813778793318276,0.00012155928975966172,53.68539367642424,0.02793204665786901,0.008616409320143199,0.08748302337818137,0.00019649676307687092,68.65124548494194,0.03571865009622369,0.013479349278712032,0.1177986807971676,0.0002396413006654848,11589.186740812107,6.029753767332002,0.01890061647330231,18.060564842232147,7.8262920223080155,1506.6832669958558,0.7839142908407158,0.00015532509346235623,8.332938185586334,0.6484735021969686,592.6996716786634,0.30837652012417455,0.00016322171759962487,14.728246652174477,0.6124997318934674,149.10560093054184,0.07757835636344529,4.5352866867529414e-05,0.967978392943435,0.010191616796172611,141.4372530403435,0.07358858118644303,1.8470211182794143e-05,3.000951812338438,0.027461301144454983,1898.3469488776032,0.9876935217885552,2.1004042431507412e-05,114.54996290393622,40.1070738365863,
10,2,HD,342834.6897058918,178.37392804676995,0.9611637900543151,309.0666524501661,187.58488720816018,23060.115793489327,11.997979080899754,0.003933576593959383,125.71093951473792,206.40260212410502,25484.51323505937,13.259372130624023,0.04651626981482813,116.50647124101003,51.897361078735685,1497.1543593947258,0.7789564825154661,0.00030653266331702895,11.072099999999997,0.8977669740060237,2285.5840842442485,1.1891696588159462,0.00030845771144171364,25.097477386934674,2.6505824965426124,25422.02251567916,13.226858749052633,0.00022999999998774,1798.47641,13310.835816438903,27.740957390258657,0.014433380536034681,0.007409479459499968,0.03456902641661529,5.50273207437817e-06,28.292257536889736,0.014720217240837531,0.007626607208670957,0.04787933885266827,1.6570698209035163e-05,40.002561987153655,0.020812987506323443,0.01167216733067547,0.049724915670544705,1.3900250660473042e-05,7132.104778520095,3.710772517440216,0.018449300919338368,11.048050221050003,0.5215741481956768,331.04547345283356,0.17224010065183848,5.5768422386564986e-05,1.9548622142644014,0.042903785180799243,379.70551240202406,0.19755749864829555,0.0006019068725307747,2.2350568336119174,0.02014538038209315,30.79211020457256,0.016020868993013818,4.78549529429498e-06,0.19890060550043714,0.0003774585982268885,32.83091923440682,0.017081643722376076,4.248808132663536e-06,0.3703776082731968,0.0005511577437949284,372.8296453296281,0.1939800443962685,2.629393631284959e-06,40.67828272733299,3.1161981792290514,
11,1,LD,324482.4260215027,168.82540375728547,0.5486201292524063,300.7602889906244,616.8922013581106,62397.784282009314,32.46502824246062,0.011587296534831187,185.92788844900778,1398.5414020680596,44612.87618923959,23.211694167138184,0.02451377813779665,174.28654439157455,477.84294188100796,3672.4376764451554,1.9107376048101745,0.00010552763819119978,48.883855,12.723225843734864,7510.822393941988,3.907816021822054,0.0007900000000038432,149.98108080808078,113.24028325488395,37933.957790291206,19.736710608892405,0.0016400000000516002,1806.8116180904524,13230.106788679062,39.23832261939735,0.0204153603638904,0.008526321994026122,0.0813778793318276,0.00012161639008522624,53.68013834326409,0.02792931235341524,0.008616409320143199,0.08748302337818137,0.00019660231158072936,68.63304180086988,0.03570917887662325,0.013479349278712032,0.1177986807971676,0.00023990667294542027,11630.84267623322,6.051426990756098,0.025406071515762744,18.212842835584503,7.770969327905341,1187.0430302604086,0.6176082363477672,0.00025075511109520803,7.3148675786080455,0.6023176604677197,1273.3807101139844,0.6625289854911469,0.00032306948286317267,13.930281949872464,0.9136201584477112,125.68503892377178,0.06539284023089063,2.7474425064224403e-06,2.6230639019082798,0.017793124310524256,142.6153496509616,0.07420153467791966,1.0176218631745389e-05,3.0516253880171087,0.039726310148644375,1030.25128089812,0.5360308433392924,3.3107660161129606e-05,99.44239491621714,14.589101512165115,
11,2,LD,324482.4260215027,168.82540375728547,0.5486201292524063,300.7602889906244,616.8922013581106,62397.784282009314,32.46502824246062,0.011587296534831187,185.92788844900778,1398.5414020680596,44612.87618923959,23.211694167138184,0.02451377813779665,174.28654439157455,477.84294188100796,3672.4376764451554,1.9107376048101745,0.00010552763819119978,48.883855,12.723225843734864,7510.822393941988,3.907816021822054,0.0007900000000038432,149.98108080808078,113.24028325488395,37933.957790291206,19.736710608892405,0.0016400000000516002,1806.8116180904524,13230.106788679062,26.44773162160775,0.013760526337985302,0.009863356300308074,0.02072506601750855,1.7051573742622513e-06,35.15928728387216,0.01829307350877844,0.007599173110105797,0.0693020953594815,6.164358443189004e-05,44.70835269574451,0.023261369768857704,0.013089739953500787,0.07048660538576255,4.624604177858375e-05,7561.414566192385,3.9341386920876094,0.013055544725856823,11.461536830413605,1.7019714043788166,853.8991830286327,0.44427636994205655,0.00015590797859013468,2.5246255601331193,0.2634512528732747,853.1705255890877,0.4438972557695565,0.000288620076613718,6.487724297440594,0.3382845606249415,83.26739851923027,0.043323308282638015,2.142661062001266e-06,1.6726260512966626,0.007206656742393505,103.36746409685034,0.053781198801691125,1.2013723156876429e-05,2.573951230468416,0.022753193347932864,728.0409835020282,0.3787934357450719,2.2065713597423248e-05,66.73032211624945,8.011017205812994,
12,1,LD,339504.4377792537,176.64122673218193,0.8477535699383463,304.9127571069202,178.35160713304802,18174.867579136328,9.456226628062605,0.006683846049073589,73.74280672468237,82.25090059267006,60763.37664114384,31.614660063030094,0.14279526555722802,132.63360759487807,41.20200727712952,922.3119837195629,0.4798709592713647,0.0001442786069654565,12.84409950248756,0.8575568284194065,1102.6365179434829,0.5736922569945281,0.00016915422885285263,7.520449999999994,0.46882407518154134,13376.530266182632,6.9596931665882575,0.001293532338294838,1769.2238706467663,3372.108676577236,39.230874036553466,0.02041148493056892,0.008234736476903058,0.06298439517845913,8.065409836749199e-05,48.10575077838689,0.025029006648484335,0.009298838590057635,0.08211992679529594,0.00012337029360535176,64.03613843908435,0.03331744976018957,0.0138694044061986,0.08623641220420424,0.0001370518243308031,11307.478544557101,5.88318342588819,0.030968033961487854,15.375474989403266,4.452696295654873,367.4099784828993,0.19116023854469266,0.00010199921630725749,1.5616015704735966,0.03705029946324879,1524.425524979213,0.7931454344324729,0.004739257355115618,5.5860369256084725,0.17641320678932143,30.779555213114982,0.016014336739393852,5.895236555013667e-06,0.7672348127325825,0.0011176321339714877,22.53537825804973,0.011724962673282897,2.174110574016302e-06,0.18583927420042015,0.00024768582493204253,298.57513856206424,0.15534606584914892,2.5860390597739973e-05,45.104690474744835,1.5062623223500364,
12,2,HD,336617.04583309527,175.13894164052823,1.5308368510121237,302.44163081601147,180.05149880862092,28321.943147813803,14.735662407811551,0.0036028818279687513,114.51724255885381,176.34183031582936,69469.66911189788,36.14446884073771,0.35211424303195193,136.16064642458784,44.29160511803488,1255.5416067952942,0.6532474541078533,0.0,16.151646766169154,1.2992831385355417,1483.973908304923,0.7720988076508445,0.00041000000000401826,18.124729999999996,1.194737140156458,19668.450669421774,10.23332501010498,7.499999995275175e-05,1793.42354,8319.7228835054,28.66558181481822,0.014914454638302925,0.008297848075202516,0.0365528924590057,6.745388476606532e-06,28.68878579637272,0.014926527469496733,0.007708950231790124,0.043737942547759666,1.8424266682307637e-05,40.96668716243239,0.02131461350802934,0.012633743761153662,0.04591934927387568,1.609908561788346e-05,7167.837915686884,3.7293641600868286,0.03317253200002416,8.49175680893915,0.5529386106748482,435.6232546698237,0.2266510169978271,6.470394289845511e-05,2.934948649931589,0.05257126350626502,1037.7815502447247,0.5399487774426247,0.0053986790191500374,2.493914543056604,0.036368430565210774,26.954931179057898,0.014024417887126897,0.0,0.5455685470911318,0.0006987639443556647,22.299987909820473,0.011602491108127198,5.89958985059974e-06,0.2676572813579211,0.0002739643714550454,325.08441264725457,0.16913861219940404,1.0547797647721302e-06,40.58852092839938,2.9830959178806715,
13,1,HD,282715.9313774124,147.0946573243561,0.2807057544400351,307.5460596438651,1750.885332622514,140219.07189666314,72.95477205861766,0.06046181342386575,205.4608387710237,2748.602429847776,54215.39576830003,28.207802168730506,0.035685601101333564,141.41999011327772,335.4566642790275,8926.434192189216,4.644346614042256,0.0038341708542714253,47.35938693467336,31.198532690841628,10918.388814399399,5.680743399791571,0.0008937198067637766,68.78157500000002,61.177975373375965,92423.71291245447,48.08725957984104,0.04554999999996312,1803.639778894472,33448.5672244584,35.79384731981436,0.018623229614887805,0.007412037089633272,0.059127434360356584,4.5082700644930365e-05,38.091525828990925,0.019818691898538462,0.007837605150699752,0.07196835102696897,5.881021330210166e-05,53.49764639402224,0.027834363368377857,0.01228290068048249,0.08470435021158675,6.874635968216506e-05,7891.066519201568,4.105653756088224,0.006963692471211449,13.697238645912705,3.01132523098431,2558.466381945543,1.3311479614701056,0.0010369957673095102,6.530703982477489,1.117879483728342,1083.0110705408651,0.563481306212729,0.00037704919871379256,5.915080991735063,0.24483993562088804,247.05220997466404,0.12853913110024143,0.00012777405539712755,1.509854130571804,0.027794224299955376,203.981549232387,0.10612983831029502,9.77687745941256e-06,2.0131709638510307,0.026111409217429736,1801.246866717955,0.9371731876784366,0.0006312614248952694,47.69852358099616,14.287519336100624,
13,2,LD,260101.84565197467,135.32874383557476,0.022258650765350163,304.7573435632935,2214.360600344386,172844.9296442718,89.9297240604952,0.02670266624115503,207.31553385996514,2989.339395086689,47705.77596814166,24.82090320923083,2.6483293976295452e-05,152.99733565273726,371.41637314623273,9583.282925472544,4.986099336874372,0.0016884422110547332,57.77476999999999,33.15643667355412,11565.88493077,6.01763003682102,0.00964321608040203,89.37804,64.39812118653754,114762.94773492121,59.71017051764891,0.016329999999982192,1873.8849052631579,47558.84407904571,26.022423660666206,0.013539242279222792,0.00987170901338134,0.020620831823102516,1.710954585615823e-06,38.75859965251918,0.02016576464751258,0.0068015714101954195,0.10871958589766244,0.00018541074730449352,48.05380721656114,0.025001980861894455,0.013849843772156395,0.10952133919070982,0.0001519918001859351,6514.834534167673,3.389612140565907,0.0004441067642282242,12.376563582015839,3.924727135341955,2318.663386388962,1.206380534021312,0.0003296727099168602,3.4999070782550263,0.5424135619661098,976.1251821965936,0.50786950166316,2.5870139352532325e-07,7.8965774715654184,0.4994369881552473,242.29913067151585,0.12606614499038285,3.2210290848613184e-05,1.4645935464997357,0.028510640675952346,157.64925597222523,0.08202354629148036,0.0001267508570572584,1.2259288275586138,0.0125646301840154,2418.157690236995,1.258146560997396,0.0003780934760382219,94.70791396027099,31.45268337742714,
