Timestamp,scene_velocity_x,scene_velocity_y,scene_velocity_z,scene_velocity_roll,scene_velocity_pitch,scene_velocity_yaw,row_avg_SF,col_avg_SF,rad_avg_SF,SV_X,SV_Y,SV_Z,SV_roll,SV_pitch,SV_yaw
2018-11-13T11:41:31.010000,179.289876005977,3.07283143514128,8.837033437190138,0.3102185323756869,0.9937494010835364,0.9604826332354799,0.01395945933460903,0.02044922637849903,0.024759591361605784,4.43914406518096,0.04289506546096301,0.18071049727146654,0.007680884094419083,0.013872204353217704,0.019641126799649185
2018-11-13T11:41:32.009000,180.22870124817928,2.705384042206506,11.25049717143848,0.43110700947482306,0.7632381253514403,0.48625923850133473,0.013755192866447165,0.019783433147550582,0.024095426078340306,4.342687348120783,0.03721307927835892,0.2225734586678601,0.010387707078654954,0.01049848761723464,0.00961987713727001
2018-11-13T11:41:32.998000,179.46517246320423,2.6932519613971455,13.307465255728326,0.4582217894732087,0.4744806993056019,0.5156824312539833,0.012817842354233269,0.01930844207460298,0.023175698866836247,4.159230794092053,0.034521679061418155,0.2569464220500221,0.010619610207053919,0.0060818188038255635,0.009957024352757969
2018-11-13T11:41:34.010000,179.4482757180883,4.765867757905051,12.219148209576602,0.12836795158460276,12.908285132285302,1.930767987277436,0.01074623331199683,0.018595753585952626,0.02147751339949158,3.8541027462509008,0.0512151268605709,0.2272242691355207,0.002757024400223592,0.13871544368931774,0.035904085723056915
2018-11-13T11:41:35.009000,174.3317937025896,2.6422688974109567,44.94535776928635,1.1298447526565418,15.754209530095743,3.261956052503731,0.016540141866897243,0.019289632462389936,0.025409962878980653,4.429764406608915,0.04370350241366738,0.8669794322601557,0.028709313224013804,0.26057686062860813,0.06292193336126531
2018-11-13T11:41:36.009000,179.2709115106284,5.226043043484646,14.733624326897324,1.0554010991326646,14.307135600967097,7.642849667670491,0.011146192480291825,0.01720527485770838,0.02050022169970379,3.6750934302758624,0.058250481672969964,0.25349605619448706,0.02163595651433068,0.1594700872500149,0.13149732922841595
2018-11-13T11:41:37.010000,158.43800237431927,83.19927098893328,17.900120146607154,3.11802725255509,9.908352306853942,35.17602391552843,0.009192311659955503,0.014836312536762677,0.01745321641824954,2.765252744314129,0.764793628811369,0.26557177694066586,0.054419604436843995,0.0910806624412405,0.5218824846114182
2018-11-13T11:41:38.009000,176.56274777169656,27.357464239078137,23.84492626487956,1.3919352007042867,3.3077270414671145,26.87413164766681,0.009035344001236892,0.008861040448053038,0.012655254997143262,2.2344465960471083,0.24718410040160743,0.21129085611394005,0.01761529490441253,0.029886451681848943,0.23813276753627785
2018-11-13T11:41:39.008000,178.75516662923357,14.913677817338964,19.26171428068787,1.2255026952241026,0.7551579301585859,2.623176495048377,0.009163834926083416,0.012222126084660497,0.015276001982909166,2.7306642798834306,0.13666648165888629,0.23541910054527282,0.018720781602303917,0.00692014261509611,0.03206079386479906
2018-11-13T11:41:40.009000,178.59681796279034,13.864512244608754,17.406535391407445,0.5614042824666025,1.125252246046208,2.161054824025866,0.009911194990679715,0.010763341862089748,0.01463151783594198,2.61314252746505,0.13741388430698387,0.1873524910522825,0.008214196772084304,0.011152594424264275,0.023260171853708593
2018-11-13T11:41:41.008000,178.18501147675377,17.26277429336427,16.939856900344328,3.462855759853419,1.4514986755397856,24.349136789287723,0.010052111450818484,0.010515705513851059,0.014547336769103603,2.5921173691589274,0.17352733114722194,0.17813454661079875,0.05037532892141784,0.014590626457241343,0.2560483519926266
2018-11-13T11:41:42.008000,146.62897537609135,102.38470081342999,24.37564362517306,1.0330393029396283,3.008698169602659,26.094249896922946,0.01057126860274125,0.013953925971937026,0.0175061066460136,2.5669024803295573,1.082336173110069,0.34013592666398357,0.018084496206784685,0.031805756495445654,0.36411723135488816
2018-11-13T11:41:43.008000,119.52977242848925,132.89933779935262,19.07835037215036,6.056040174762151,3.3658245020632394,42.06879249529521,0.013196126726449226,0.015608590927118773,0.02043932169399567,2.4431074706759857,1.753756503461441,0.29778616652313916,0.12378135332372536,0.044415846668214375,0.6566345728569072
2018-11-13T11:41:44.006000,175.84129489480472,40.492407637398166,7.422710477788441,6.485709310722976,8.543294380228243,56.93316946407411,0.014192901553507843,0.010998329050416264,0.017955547789159643,3.1573267737913797,0.5747047552621013,0.0816374122806898,0.11645446347528404,0.12125413608121625,0.6261697316489985
2018-11-13T11:41:45.007000,129.86605650109772,123.91193934481011,12.481585306575557,2.2717382255805734,11.58782682442304,14.133030689924666,0.016038994688965965,0.015558340362681939,0.02234527479074125,2.9018927185069576,1.987422937050882,0.19419275246555232,0.05076261490322884,0.1858570928935785,0.21988650183007752
2018-11-13T11:41:46.006000,161.18308275175326,78.70786948653792,19.56305160996616,1.821097934990021,2.841370977134644,21.693468972923323,0.019923049068024154,0.023869124020628428,0.031091203992110683,5.011376105912017,1.568100745819936,0.4669529051002369,0.05662012738638626,0.056608773397913245,0.5178041013523617
2018-11-13T11:41:47.006000,177.40866480510405,28.93645643995458,5.670350437058805,1.5355156900023155,7.386352505645878,9.85769757172167,0.016528266390154436,0.014851718210424775,0.022220646337714204,3.9421351978803023,0.4782694604266692,0.08421444684555633,0.03412015109355265,0.12208360186489976,0.1464037465387988
2018-11-13T11:41:48.004000,179.48760910444616,8.800497318644709,17.15424626912533,0.9944592480333454,4.571276816225301,4.082388376585943,0.015642449167124962,0.014703046815792032,0.021467785205126787,3.853201439236009,0.1376613319523194,0.25221968598457556,0.02134883753203176,0.07150596522666111,0.06002354742118835
