x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.601563;29080.277344;91.804482;1.822811;-3.397636;-86.60498;0.035261;-0.057248;0.997737;0.059115;-0.99649;-0.059265;-5.555724;-1.953218;0.191379;0.008983;-0.012309;0.00856;-0.073775;0.011727;-0.066376;0.005105;0.000359;-0.004405;522384.65625;89.872093;2018-11-15T15:11:13.296Z
5597.438477;29044.390625;91.653778;2.260283;-3.640074;-86.931587;0.042778;-0.061237;0.997206;0.05342;-0.996552;-0.063489;-2.361646;9.819468;-3.327133;-0.1122;-0.14825;0.107754;-0.021298;-0.003689;0.005628;-0.001234;-0.003674;0.001998;522384.84375;90.328812;2018-11-15T15:11:13.495Z
5597.273926;29008.462891;91.499283;2.06308;-3.765688;-87.255508;0.039101;-0.063835;0.997194;0.047779;-0.996696;-0.065676;-1.800151;6.398569;7.696967;-0.041534;-0.0206;0.057214;0.037813;0.007144;-0.021599;-0.013956;-0.010516;0.001346;522385.0625;90.199631;2018-11-15T15:11:13.696Z
5597.109375;28972.496094;91.341133;1.778444;-3.690303;-87.411583;0.033908;-0.062865;0.997446;0.045067;-0.996908;-0.064363;-1.1425;4.069928;-3.409958;0.086492;-0.019735;0.084076;0.025321;-0.021339;-0.001747;-0.020512;-0.003239;0.00696;522385.25;90.211906;2018-11-15T15:11:13.895Z
5596.953125;28938.476563;91.188416;1.58333;-3.588561;-87.462639;0.030374;-0.061283;0.997658;0.044184;-0.997061;-0.062591;-3.316748;-7.432633;2.041705;0.044148;0.01813;0.062796;0.018352;0.003102;-0.007175;-0.003834;0.001672;-0.003249;522385.4375;90.433708;2018-11-15T15:11:14.084Z
5596.77832;28900.503906;91.014503;1.525226;-3.805324;-87.186447;0.029842;-0.064957;0.997442;0.048978;-0.996593;-0.066367;2.958858;-8.663405;-3.550179;-0.008426;-0.034108;0.129249;0.02552;-0.010655;0.044753;-0.004466;0.00972;-0.000657;522385.65625;91.111908;2018-11-15T15:11:14.295Z
5596.612305;28864.484375;90.846252;1.377027;-3.609919;-86.742371;0.027569;-0.061478;0.997728;0.056713;-0.996403;-0.062963;-2.123858;-2.530435;-1.19949;-0.070559;0.048008;-0.009441;0.005161;-0.025395;-0.005359;-0.005225;0.004212;0.002571;522385.84375;90.196541;2018-11-15T15:11:14.496Z
5596.445313;28828.380859;90.674545;1.216557;-3.216124;-86.952888;0.024183;-0.054882;0.9982;0.053073;-0.997013;-0.056102;-0.603762;5.884127;1.698801;0.021852;-0.028137;-0.156271;0.008516;-0.037185;-0.019026;-0.007051;-0.002969;0.005922;522386.0625;89.368683;2018-11-15T15:11:14.696Z
5596.27832;28792.3125;90.500038;0.574684;-2.356716;-87.469063;0.011836;-0.040636;0.999104;0.044121;-0.998179;-0.041121;-2.780616;2.815814;2.579153;0.096769;0.091789;-0.054644;0.062154;-0.082745;-0.065576;0.005053;-0.00894;0.012541;522386.25;89.677361;2018-11-15T15:11:14.896Z
5596.111328;28756.203125;90.322495;0.60549;-2.481927;-87.298454;0.012597;-0.042756;0.999006;0.047089;-0.997952;-0.043304;3.869685;-0.780933;8.017197;-0.08821;-0.004932;-0.004396;-0.042022;0.056299;0.063426;0.013608;0.011709;-0.008017;522386.46875;89.275291;2018-11-15T15:11:15.096Z
