x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.601563;29080.269531;91.804459;-5.00693;-8.218226;-88.769585;-0.084198;-0.14424;0.985954;0.021253;-0.989503;-0.142944;-4.165235;-0.280588;-2.517453;0.014446;-0.041673;-0.089672;-0.001632;0.000167;-0.006604;-0.00405;-0.00339;-0.001261;2236793.0;89.36264;2018-12-05T11:24:10.622Z
5597.447266;29046.34375;91.662079;-4.987825;-8.375239;-88.837563;-0.083982;-0.146838;0.985589;0.020071;-0.989132;-0.145655;0.621328;-4.696329;2.22419;-0.052016;0.003071;0.087132;0.007441;0.008597;0.012604;-0.001494;-0.00205;-0.001247;2236793.25;89.444138;2018-12-05T11:24:10.811Z
5597.273926;29008.431641;91.499161;-5.063296;-8.466306;-88.943619;-0.085537;-0.148255;0.985243;0.018235;-0.988934;-0.147228;0.785438;-5.552535;0.654689;0.038294;0.074742;0.063418;-0.016596;0.008891;0.001541;-0.002869;0.001719;-0.000365;2236793.5;89.982056;2018-12-05T11:24:11.022Z
5597.109375;28972.496094;91.341133;-5.016054;-8.590458;-88.83519;-0.084392;-0.150545;0.984994;0.0201;-0.988577;-0.149371;-0.357095;-11.4858;-9.733088;0.012589;0.049575;-0.011008;0.000546;-0.000869;-0.01074;0.001375;-0.000339;0.001098;2236793.75;89.356606;2018-12-05T11:24:11.222Z
5596.943848;28936.476563;91.179352;-4.919742;-8.653228;-88.709068;-0.082361;-0.151794;0.984975;0.022273;-0.988366;-0.150454;-0.06754;-0.00456;3.483282;0.002474;-0.010785;-0.033742;-0.021311;0.003559;0.017273;-0.002963;0.003157;-0.001358;2236794.0;89.164093;2018-12-05T11:24:11.422Z
5596.787109;28902.46875;91.023582;-4.727419;-8.677311;-88.561348;-0.078615;-0.152378;0.985191;0.024819;-0.988242;-0.150869;-0.883041;0.123099;1.12627;0.041673;-0.030611;-0.082909;-0.019088;0.007837;0.014133;-0.006393;0.002566;-0.000095;2236794.0;89.631813;2018-12-05T11:24:11.611Z
5596.612305;28864.457031;90.84613;-4.651766;-8.701811;-88.635971;-0.077487;-0.152681;0.985233;0.02353;-0.988209;-0.151292;4.642966;-9.742767;0.109728;-0.068535;-0.037321;0.111893;0.024589;-0.016105;-0.003856;-0.007576;-0.003345;-0.000891;2236794.25;89.872124;2018-12-05T11:24:11.821Z
5596.455078;28830.371094;90.68409;-4.728914;-8.697631;-88.723541;-0.079064;-0.152504;0.985135;0.02202;-0.988255;-0.15122;0.898642;1.475537;2.667178;0.033652;0.037625;0.003296;0.011225;0.00099;-0.017982;-0.003788;-0.004425;0.004092;2236794.5;89.716835;2018-12-05T11:24:12.011Z
5596.287598;28794.275391;90.509613;-4.759859;-9.03009;-88.785225;-0.079645;-0.158136;0.9842;0.020937;-0.987384;-0.156953;4.984909;0.246415;-0.203193;-0.162313;0.0226;0.043711;0.01836;0.073484;-0.010374;0.01022;-0.003119;-0.010107;2236794.75;88.727966;2018-12-05T11:24:12.210Z
5596.120117;28758.183594;90.332298;-4.703127;-9.087642;-88.718452;-0.078452;-0.159208;0.984123;0.022085;-0.987201;-0.157945;-2.528752;-3.90926;-1.74548;-0.033654;-0.136895;0.011725;-0.002863;-0.030642;0.031409;-0.004302;-0.004563;0.00327;2236795.0;90.027893;2018-12-05T11:24:12.411Z
5595.952637;28722.101563;90.152283;-4.668276;-8.893978;-88.606697;-0.077616;-0.156027;0.984699;0.024023;-0.987684;-0.154607;4.814976;-0.269477;2.20272;-0.026548;0.022323;0.036655;0.004693;-0.033965;0.017829;-0.009653;-0.004497;0.003946;2236795.0;90.098335;2018-12-05T11:24:12.611Z
5595.785156;28686.15625;89.970314;-4.503267;-8.55835;-88.428665;-0.074418;-0.150454;0.985812;0.027116;-0.988493;-0.148817;-2.00136;4.813827;-2.572005;0.029671;0.067593;-0.138619;-0.045218;0.000788;0.03907;-0.00905;0.004733;0.001589;2236795.25;90.125954;2018-12-05T11:24:12.811Z
5595.617188;28650.210938;89.785858;-4.494509;-8.355527;-88.427193;-0.074358;-0.146965;0.986343;0.027156;-0.989013;-0.145315;1.577213;0.944042;1.516722;-0.015492;0.027345;-0.08071;0.025577;-0.001229;-0.039881;0.000762;-0.01143;0.003054;2236795.5;89.951477;2018-12-05T11:24:13.011Z
5595.449219;28614.230469;89.598785;-4.574038;-8.483675;-88.717735;-0.076436;-0.148805;0.985908;0.022133;-0.98881;-0.147528;-2.549518;-1.254696;4.277239;-0.051671;-0.06704;-0.078109;-0.006755;0.033222;-0.000346;0.006779;-0.000826;-0.004134;2236795.75;89.753311;2018-12-05T11:24:13.211Z
5595.28125;28578.257813;89.40947;-4.671022;-8.598354;-88.77224;-0.078223;-0.150721;0.985477;0.021186;-0.988534;-0.149507;-4.328755;-1.781816;-2.30164;0.002265;0.01828;-0.09665;0.005452;-0.005228;-0.000081;-0.004414;-0.000217;0.000888;2236796.0;90.338081;2018-12-05T11:24:13.411Z
