x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.601563;29080.265625;91.804955;-5.793887;-4.755526;-50.509731;-0.025453;-0.127852;0.991467;0.633758;-0.769076;-0.082904;5.927465;4.499286;3.400369;-0.158966;0.087927;-0.05895;-0.059376;0.001053;-0.051141;-0.013758;0.00549;-0.000393;2158533.25;87.80719;2018-12-04T13:39:53.941Z
5597.438477;29044.488281;91.656036;-5.304203;-4.351718;-50.712421;-0.023708;-0.117014;0.992847;0.631388;-0.771746;-0.075879;2.480526;-4.832364;0.790013;0.003798;-0.007995;-0.057405;-0.026465;-0.056818;0.018365;-0.020966;0.003189;0.004213;2158533.5;87.769379;2018-12-04T13:39:54.140Z
5597.275391;29008.742188;91.504463;-5.126316;-4.010619;-50.7173;-0.025055;-0.110493;0.993561;0.631597;-0.772136;-0.069941;1.549246;-2.595649;0.331878;-0.171503;-0.057077;0.111859;-0.002585;-0.041204;0.005028;-0.02467;-0.004418;0.00532;2158533.75;90.641045;2018-12-04T13:39:54.339Z
5597.110352;28972.757813;91.349167;-5.054843;-3.320004;-50.93354;-0.032054;-0.100318;0.994439;0.629164;-0.775112;-0.057913;-0.560499;0.213765;-2.988825;0.053576;0.066757;-0.017287;-0.023162;-0.052718;-0.03344;-0.038427;-0.013989;0.010194;2158534.0;90.064659;2018-12-04T13:39:54.540Z
5596.945313;28936.796875;91.191307;-4.777957;-3.092286;-52.029751;-0.032589;-0.093625;0.995074;0.614356;-0.787182;-0.053944;-0.039004;-0.756074;-3.614856;0.160318;-0.244099;0.155939;-0.012499;-0.067997;-0.188933;-0.029749;-0.025161;0.007178;2158534.0;89.789818;2018-12-04T13:39:54.739Z
5596.780273;28900.955078;91.031456;-4.254823;-2.390197;-57.730728;-0.040529;-0.074777;0.996376;0.533435;-0.844813;-0.041705;6.275235;-3.604713;-11.854069;0.66585;-0.853807;-0.191154;0.065729;-0.076122;-0.798712;0.037953;-0.073613;0.008813;2158534.25;90.338051;2018-12-04T13:39:54.939Z
5596.614746;28865.0;90.868614;-3.585145;-3.799648;-70.319458;-0.036605;-0.083334;0.995849;0.336035;-0.939515;-0.066268;-0.428464;3.305807;1.802482;-0.346933;0.201482;0.262443;-0.049484;0.068964;-0.983379;0.046375;-0.098769;-0.021078;2158534.5;89.869057;2018-12-04T13:39:55.138Z
5596.448242;28828.921875;90.70285;-3.552796;-3.929865;-76.911972;-0.044869;-0.080659;0.995731;0.225915;-0.971733;-0.068535;6.086054;-1.037701;2.140127;-0.313789;0.365513;0.17247;0.02295;-0.021681;-0.372587;0.001224;-0.055078;0.000958;2158534.75;90.261078;2018-12-04T13:39:55.338Z
5596.280273;28792.773438;90.534424;-3.187165;-3.751495;-80.920753;-0.044592;-0.073283;0.996314;0.157462;-0.985355;-0.065429;-0.578666;1.609458;-1.38647;-0.161009;-0.222861;0.031675;-0.038613;0.021646;-0.348407;-0.013044;-0.050971;-0.006376;2158535.0;90.678314;2018-12-04T13:39:55.538Z
5596.112793;28756.646484;90.363884;-3.048341;-4.114629;-85.996796;-0.048047;-0.075188;0.996011;0.069632;-0.994989;-0.071752;-2.286861;0.470148;7.369003;-0.26714;0.081848;0.055383;0.022025;0.009119;-0.363053;-0.028558;-0.058848;-0.005802;2158535.0;90.889915;2018-12-04T13:39:55.738Z
5595.945313;28720.544922;90.191315;-3.576874;-3.027679;-89.692955;-0.062104;-0.053049;0.996659;0.005352;-0.99859;-0.052818;-1.825748;0.017948;-4.180475;-0.039064;0.101239;-0.085087;0.027286;-0.177449;-0.322688;-0.038085;-0.040885;0.019339;2158535.25;89.844666;2018-12-04T13:39:55.938Z
