x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.601563;29080.265625;91.804443;3.472806;1.844131;-92.560219;0.061949;0.029384;0.997647;-0.044646;-0.998484;0.032181;2.024497;2.451693;-5.201573;0.250979;-0.28622;-0.090939;0.092976;0.065173;0.089855;0.047001;0.022698;-0.00991;1810591.625;90.098213;2019-01-08T12:24:07.332Z
5597.447266;29046.324219;91.661995;2.639134;1.406261;-92.521996;0.047079;0.022466;0.998638;-0.04399;-0.99873;0.024541;1.297672;2.158623;-1.150387;0.091038;-0.077109;-0.237474;0.079064;-0.007859;0.042886;0.057951;-0.001168;-0.002247;1810591.875;90.159554;2019-01-08T12:24:07.521Z
5597.282715;29010.378906;91.507622;1.627409;0.173541;-92.752922;0.028512;0.00166;0.999592;-0.048029;-0.998841;0.003029;-5.420112;-2.155455;-0.745337;-0.088818;-0.140772;0.084514;0.072311;0.138898;-0.101388;0.047782;-0.041281;-0.014716;1810592.0;89.841476;2019-01-08T12:24:07.721Z
5597.118164;28974.429688;91.349716;0.446347;0.730858;-93.134369;0.008476;0.01231;0.999888;-0.054673;-0.998423;0.012756;1.947772;-2.575592;-0.695402;-0.038162;0.017252;-0.178263;0.224017;-0.188229;0.083597;0.033793;-0.019072;0.023206;1810592.25;89.865868;2019-01-08T12:24:07.921Z
5596.953125;28938.445313;91.188278;0.478171;1.095487;-92.350792;0.009123;0.01876;0.999782;-0.04101;-0.998976;0.019119;2.101909;3.849944;0.684178;0.106108;-0.082305;-0.390124;-0.070724;0.001567;0.047343;0.031393;-0.002257;-0.008903;1810592.375;90.827423;2019-01-08T12:24:08.121Z
5596.787109;28902.40625;91.023285;0.532648;0.39445;-91.660973;0.009492;0.006612;0.999933;-0.028985;-0.999556;0.006884;-1.503085;-0.6674;-4.07398;0.090267;-0.016525;0.054608;0.029466;0.043559;0.060985;0.014795;-0.012647;-0.006099;1810592.625;90.052269;2019-01-08T12:24:08.322Z
5596.621094;28866.386719;90.855217;0.585726;-0.007076;-90.697815;0.01022;-0.000248;0.999948;-0.012179;-0.999926;-0.000124;-1.46999;-3.12255;-0.663117;-0.245347;-0.115075;-0.116228;0.026951;0.051179;0.080041;0.01038;-0.005016;-0.010604;1810592.875;89.920807;2019-01-08T12:24:08.521Z
5596.45459;28830.318359;90.683838;0.129497;-0.473175;-89.903419;0.002274;-0.008255;0.999963;0.001686;-0.999964;-0.008258;-2.1182;1.496994;-6.544723;0.105601;0.033617;0.423003;0.031216;0.012373;0.02695;0.017236;0.00057;-0.002946;1810593.0;89.981873;2019-01-08T12:24:08.722Z
5596.287598;28794.234375;90.509407;-0.788513;-0.886381;-88.047775;-0.013227;-0.015928;0.999786;0.034062;-0.9993;-0.01547;6.033557;-1.157502;8.225158;0.073823;-0.176013;-0.119735;0.262501;0.089482;0.324529;0.017061;0.015449;-0.005096;1810593.25;89.574089;2019-01-08T12:24:08.921Z
5596.120117;28758.136719;90.332069;-2.369019;-1.624991;-86.600616;-0.039583;-0.030735;0.998744;0.059272;-0.997839;-0.028358;-1.370558;2.894768;-0.985841;-0.096059;0.027072;0.130885;-0.061807;0.028394;0.03254;-0.002099;0.011656;-0.008386;1810593.375;89.798828;2019-01-08T12:24:09.122Z
