x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.601563;29080.238281;91.804329;-1.641937;-3.719543;-90.432587;-0.029142;-0.064628;0.997484;-0.007534;-0.997865;-0.064873;-3.258401;4.497576;-1.668677;0.03132;-0.133871;0.067983;-0.005189;-0.018652;0.040461;-0.010143;0.013756;0.002394;1799446.875;88.532074;2019-01-08T09:19:21.264Z
5597.447266;29046.3125;91.661942;-1.658203;-3.853633;-90.583061;-0.029619;-0.066882;0.997321;-0.010153;-0.997687;-0.067208;0.760627;-1.394883;-0.722236;-0.028287;-0.13683;0.073582;0.009122;0.025052;-0.090325;-0.014215;-0.003819;-0.008079;1799447.125;88.449287;2019-01-08T09:19:21.453Z
5597.283203;29010.386719;91.507645;-1.875214;-3.986822;-91.898384;-0.035007;-0.068368;0.997046;-0.033047;-0.997033;-0.069527;1.118042;-1.163458;2.879045;0.081923;0.223697;-0.057516;0.023257;0.002669;0.000433;0.004948;-0.002331;-0.000638;1799447.25;90.067589;2019-01-08T09:19:21.653Z
5597.118164;28974.419922;91.349678;-1.821991;-4.7923;-91.004623;-0.033254;-0.082931;0.996;-0.017472;-0.996351;-0.083544;-2.683307;3.119372;0.258689;-0.115822;-0.124881;-0.002803;-0.024378;0.111262;0.026947;0.007883;-0.0046;-0.015961;1799447.5;89.574089;2019-01-08T09:19:21.853Z
5596.953125;28938.416016;91.188141;-1.778382;-5.247128;-90.678131;-0.032113;-0.091034;0.99533;-0.011786;-0.99574;-0.091452;-4.823689;6.220336;-2.885951;-0.038892;0.101046;-0.014004;-0.013982;0.042557;0.048649;-0.011404;-0.000303;-0.006877;1799447.625;89.525635;2019-01-08T09:19:22.053Z
5596.787109;28902.380859;91.023186;-1.808289;-5.190581;-89.730263;-0.031129;-0.090571;0.995403;0.004688;-0.995888;-0.090469;1.930102;-6.028692;-0.597416;-0.038713;-0.160565;0.076527;0.01268;-0.057418;0.000362;-0.035534;-0.005398;0.00661;1799447.875;89.817123;2019-01-08T09:19:22.254Z
5596.621094;28866.318359;90.854897;-2.376343;-3.981324;-90.31031;-0.041838;-0.069146;0.996729;-0.005403;-0.997572;-0.069431;2.012198;-2.892061;5.925109;0.184737;0.217395;0.27294;0.012143;-0.208043;-0.066277;-0.032491;0.005089;0.011133;1799448.125;90.765175;2019-01-08T09:19:22.454Z
5596.454102;28830.242188;90.683479;-1.605499;-3.859555;-91.601265;-0.029887;-0.066475;0.99734;-0.02788;-0.997342;-0.067311;0.889303;-7.000227;-1.246963;-0.098632;-0.014477;0.043052;-0.030066;0.046262;-0.160459;-0.009393;-0.003497;-0.038546;1799448.25;89.737976;2019-01-08T09:19:22.654Z
5596.286133;28793.980469;90.508186;-0.948089;-1.926571;-92.441216;-0.017963;-0.032879;0.999298;-0.04257;-0.998528;-0.033619;-0.512215;-2.365216;-0.8458;0.197382;0.041957;-0.749366;-0.017569;-0.048669;0.072224;-0.010114;0.013572;0.019977;1799448.5;82.937302;2019-01-08T09:19:22.855Z
5596.119629;28758.109375;90.331924;-0.239838;-2.470363;-92.405899;-0.005992;-0.042889;0.999062;-0.041939;-0.99819;-0.043103;5.986368;-2.009924;10.559265;-0.255614;-0.279248;-0.419804;-0.036389;0.134777;-0.015908;0.023584;-0.007084;-0.012003;1799448.625;90.000244;2019-01-08T09:19:23.054Z
5595.952148;28722.0625;90.152084;-0.373627;-3.157712;-94.611023;-0.010928;-0.054381;0.99846;-0.080269;-0.99525;-0.055085;-5.404202;4.382285;-2.893313;-0.144479;-0.080613;-0.415295;0.062642;-0.021457;-0.244734;0.014044;-0.036454;0.005667;1799448.875;90.718513;2019-01-08T09:19:23.253Z
5595.785156;28686.097656;89.970032;-0.272095;-3.210605;-98.47406;-0.01295;-0.054694;0.998419;-0.14713;-0.98753;-0.056006;3.806594;-1.084305;1.681631;0.004641;-0.006936;0.041305;0.049938;-0.001448;-0.355884;-0.011651;-0.047546;-0.000899;1799449.125;90.070641;2019-01-08T09:19:23.454Z
5595.617188;28650.144531;89.7855;-0.469513;-3.422416;-99.956802;-0.018393;-0.057379;0.998183;-0.172597;-0.983182;-0.059697;-3.955549;0.334173;1.190802;-0.104603;0.19507;0.093136;-0.001484;-0.011015;0.06495;-0.013963;0.006746;-0.000067;1799449.25;89.765343;2019-01-08T09:19:23.654Z
5595.449219;28614.171875;89.598488;-0.255859;-3.241942;-97.816116;-0.012115;-0.055419;0.99839;-0.135776;-0.989124;-0.056552;3.094363;1.292863;-0.481171;0.047555;0.192017;-0.056338;-0.009578;-0.006183;0.300283;-0.012103;0.029219;-0.001386;1799449.5;89.686317;2019-01-08T09:19:23.854Z
5595.280762;28578.203125;89.409164;-1.277039;-2.751467;-91.113274;-0.023215;-0.04755;0.998599;-0.019407;-0.998659;-0.048004;1.172223;4.062932;-10.749719;0.108706;-0.125967;-0.124482;0.096524;0.014167;0.6999;-0.014644;0.064164;0.000963;1799449.625;89.537758;2019-01-08T09:19:24.054Z
5595.111816;28542.183594;89.217415;-1.730439;-2.765222;-86.564865;-0.027254;-0.049944;0.99838;0.059849;-0.997041;-0.048244;-1.660953;-3.350624;-6.964512;0.177714;-0.363129;-0.285578;-0.043493;-0.02702;0.133429;0.003351;0.021466;0.012994;1799449.875;89.589249;2019-01-08T09:19:24.255Z
5594.943359;28506.195313;89.023705;-1.766266;-4.153445;-87.501053;-0.027637;-0.073668;0.9969;0.043487;-0.996425;-0.072428;3.472555;2.903685;1.545232;-0.003854;0.043634;0.097157;0.025716;0.20665;-0.077705;0.00463;0.002586;-0.021581;1799450.125;90.254829;2019-01-08T09:19:24.454Z
5594.773926;28470.152344;88.827728;-1.630279;-6.476098;-87.980164;-0.024459;-0.113676;0.993217;0.035021;-0.993002;-0.112789;-0.372725;-5.908943;3.320791;0.0179;-0.043264;-0.045176;-0.039589;0.1819;-0.068253;0.00667;0.006387;-0.027103;1799450.25;89.5317;2019-01-08T09:19:24.654Z
5594.604004;28434.085938;88.629745;-1.551117;-7.367042;-88.361343;-0.023392;-0.1289;0.991382;0.02836;-0.99134;-0.128225;-2.392667;-3.863028;2.193654;-0.163897;-0.035642;0.18142;0.002979;0.028278;-0.051105;-0.009988;0.001075;-0.008075;1799450.5;88.936386;2019-01-08T09:19:24.854Z
5594.43457;28398.060547;88.430191;-1.626038;-7.251646;-89.010857;-0.026193;-0.126648;0.991602;0.017125;-0.991853;-0.126227;1.759146;-1.482525;8.349743;-0.01398;0.042834;-0.055484;0.01682;-0.004827;-0.047542;-0.010398;-0.000313;-0.00057;1799450.625;90.23941;2019-01-08T09:19:25.054Z
5594.26416;28361.992188;88.228714;-1.598755;-7.2102;-89.154709;-0.026046;-0.125859;0.991706;0.014636;-0.991984;-0.12551;2.109587;5.929996;0.669366;0.132364;0.090986;-0.075457;-0.014053;-0.007949;0.001806;-0.001984;0.005648;0.003833;1799450.875;91.030342;2019-01-08T09:19:25.254Z
5594.094238;28325.960938;88.025879;-1.346343;-6.825284;-89.135864;-0.021701;-0.11915;0.992639;0.014975;-0.9928;-0.118842;5.910295;-3.352101;-5.109135;0.015854;-0.006882;-0.03397;-0.000394;-0.066092;-0.032825;0.008597;0.001;0.006611;1799451.125;89.586197;2019-01-08T09:19:25.454Z
5593.923828;28290.0;87.821983;-1.408478;-5.656435;-89.25206;-0.023292;-0.098846;0.99483;0.01299;-0.995046;-0.098563;1.089577;-3.434018;3.424566;-0.10529;0.119182;0.040909;0.007087;-0.162692;0.019725;0.002788;0.002175;0.019221;1799451.25;89.707565;2019-01-08T09:19:25.654Z
5593.753906;28254.027344;87.616676;-1.394104;-3.183011;-88.747299;-0.02311;-0.056028;0.998162;0.021828;-0.998219;-0.055525;1.070839;1.730923;5.4645;-0.045506;-0.067189;-0.143153;-0.000849;-0.203424;0.046296;-0.008998;0.004134;0.026642;1799451.5;90.131943;2019-01-08T09:19:25.854Z
5593.583984;28218.056641;87.410095;-1.467224;-1.623748;-88.687653;-0.02495;-0.028906;0.999271;0.022894;-0.999336;-0.028336;-0.907845;2.580489;2.418606;0.010905;-0.0513;-0.027295;-0.003037;-0.073613;-0.011532;-0.01252;-0.005328;0.010495;1799451.625;90.359489;2019-01-08T09:19:26.054Z
5593.413574;28182.082031;87.202354;-1.425842;-1.34567;-89.43914;-0.024652;-0.023719;0.999415;0.009786;-0.999676;-0.023484;3.56031;1.031981;-7.920652;-0.104202;0.026849;0.111848;0.022732;-0.00089;-0.129439;-0.005916;-0.015665;-0.002275;1799451.875;89.302231;2019-01-08T09:19:26.254Z
5593.242676;28146.089844;86.993462;-1.347473;-1.281432;-90.973717;-0.023892;-0.021954;0.999473;-0.016989;-0.999605;-0.022363;1.396324;-1.627989;-5.19455;0.037925;0.024238;-0.068134;-0.006515;-0.00098;-0.158868;-0.00949;-0.015509;-0.000726;1799452.125;90.774506;2019-01-08T09:19:26.454Z
5593.072266;28110.125;86.783768;-1.121429;-1.044493;-92.47998;-0.020342;-0.017361;0.999642;-0.043263;-0.998897;-0.018229;2.61045;-7.584231;3.054699;0.029875;-0.056029;-0.148563;-0.003802;-0.005056;-0.134271;0.000017;-0.02172;-0.004295;1799452.25;89.728859;2019-01-08T09:19:26.654Z
